Source	First English Translation	Final Refined Translation
"Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?
"	What can I do to ensure that the correct names and data are displayed in the new FamilySearch?	What can I do to ensure that the correct names and information are displayed in the new FamilySearch?
"Ich will gehn, ich will tun, was Gott mir sagt und dann
"	I want to go, I want to do what God tells me and then	I want to leave, I want to follow what God tells me to do, and then
"Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.
"	The leaders of the Church are honestly convinced that you can build the Kingdom of God like no generation before you, he said. We know that the Church and the Kingdom of God can only continue to be established and grow if your generation is successful.	The leaders of the Church are sincerely convinced that your generation has the potential to establish the Kingdom of God in a manner unparalleled by any generation before, he stated. We understand that the Church and the Kingdom of God can only continue to be built and thrive if your generation is successful.
"Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.
"	Only subcategories of your unit with a green dot can be renamed.	Only subcategories of your unit marked with a green dot can be renamed.
"Informieren Sie FamilySearch, um sich als Administrator zu registrieren.
"	Notify FamilySearch to register as an administrator.	Please inform FamilySearch to register as an administrator.
"Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.
"	In addition to your task of proclaiming the gospel to non-members, you will be active in the Belgian-Dutch Mission in Brussels.	In addition to your task of proclaiming the gospel to non-members, you will be active in the Belgian-Dutch Mission in Brussels.
"Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.
"	After a speech that was held on June 25, 2010, at a seminar for new mission presidents.	Following a speech given on June 25, 2010, at a seminar for newly appointed mission presidents.
"Das Spiel wird im Kreis gespielt.
"	The game is played in a circle.	The game is played in a circle.
"Das Programm zeichnet jeden Fall eines Kunden auf.
"	The program records every case of a customer.	The program records every case of a customer.
"Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten
"	Guidelines for the FHV meeting for housing, family, and personal development and related activities	Guidelines for the FHV Assembly for Housing, Family, Personal Development, and Related Activities
"Getauft, aber nicht konfirmiert
"	Baptized, but not confirmed	Baptized, but not confirmed
"Die Prsidentschaften der Jungen Mnner und der Jungen Damen
"	The presidencies of the young men and the young ladies	The presidencies of young men and young women
"Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.
"	We are not here to force anyone to do the will of the Father in Heaven. Naturally, the measure of freedom and responsibility that we grant our children depends on their age and abilities. If we help our children to exercise their freedom of choice properly, it will be easier to teach them and love them, regardless of their behavior.	We are not here to force anyone to follow the will of the Father in Heaven. Naturally, the degree of freedom and responsibility we grant our children is contingent upon their age and abilities. By assisting our children in effectively exercising their freedom of choice, we make it easier to teach and love them, regardless of their behavior.
"Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.
"	The Book of Mormon is another witness for Jesus Christ and confirms the truths that are in the Bible.	The Book of Mormon is another testament of Jesus Christ and confirms the truths found in the Bible.
"Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.
"	When the Saints of the Last Days were driven from their houses in Nauvoo, in the state of Illinois, many found joy in the midst of suffering.	When the Saints of the Last Days were driven from their homes in Nauvoo, Illinois, many found joy amidst their suffering.
