Source	First English Translation	Final Refined Translation
"Durante o tempo que passam no Chile, percebem a necessidade de uma tradução para o espanhol do Livro de Mórmon.
"	During the time they spend in Chile, they realize the need for a Spanish translation of the Book of Mormon.	While they are in Chile, they become aware of the need for a Spanish translation of the Book of Mormon.
"Posteriormente, o mesmo sonho se repetiu.
"	Subsequently, the same dream repeated itself.	Later, the same dream recurred.
"Há um tipo de alegria e satisfação que somente é compreendida por meio de sentimentos espirituais.
"	There is a type of joy and satisfaction that is only understood through spiritual feelings.	There is a type of joy and satisfaction that is only understood through spiritual feelings.
"5. Exatidão dos Dados Informados.
"	5. Accuracy of the Reported Data.	5. Accuracy of the Reported Data.
"As ordenanças continuarão na sua lista até que alguém as aceite.
"	The orders will remain on your list until someone accepts them.	The orders will remain on your list until someone accepts them.
"Além de suas próprias provações pessoais, muitos enfrentaram e continuam a enfrentar preconceitos e mal-entendidos culturais mesmo em sua ala ou seu ramo.
"	In addition to their own personal trials, many have faced and continue to face prejudices and cultural misunderstandings even in their ward or branch.	In addition to their personal trials, many individuals face and continue to face prejudices and cultural misunderstandings, even within their own congregations or branches.
"Ocorreu um erro ao salvar seu retrato.
"	An error occurred while saving your portrait.	An error occurred while saving your portrait.
"Clique na caixa de seleção à esquerda de cada pessoa cujas ordenanças você deseja cancelar a reserva.
"	Click the checkbox to the left of each person whose reservations you wish to cancel.	Click the checkbox to the left of each person for whom you wish to cancel reservations.
"A indexação de registros é o acelerador que dá ao site FamilySearch.org o poder de conectar você aos seus antepassados.
"	The indexing of records is the accelerator that gives the website FamilySearch.org the power to connect you to your ancestors.	The indexing of records serves as the engine that enables the FamilySearch.org website to connect you with your ancestors.
"Tabela para listar até quatro gerações de antepassados.
"	Table to list up to four generations of ancestors.	A table for listing up to four generations of ancestors.
"E essa é a razão, porque o Espírito foi persistente.
"	And this is the reason why the Spirit was persistent.	And that is the reason the Spirit was persistent.
"Apesar de as ordenanças vicárias realizadas fora de sequência serem válidas, elas tornam-se eficazes somente depois que forem realizadas as ordenanças exigidas previamente.
"	Although the vicarious ordinations performed out of order are valid, they only become effective after the previously required ordinations have been carried out.	Although vicarious ordinations performed out of sequence are valid, they only take effect once the required prior ordinations have been carried out.
"No mundo todo, como irmãos e irmãs no evangelho, podemos aprender uns com os outros, tornar-nos mais unidos e aumentar nosso amor mútuo.
"	All over the world, as brothers and sisters in the gospel, we can learn from one another, become more united, and increase our mutual love.	Worldwide, as brothers and sisters in the gospel, we have the opportunity to learn from one another, grow closer together, and deepen our mutual love.
"O chamado, Jorge Orlando Cocco Santangelo Prêmio de Compra
"	The call, Jorge Orlando Cocco Santangelo Purchase Award	The Jorge Orlando Cocco Santangelo Purchase Award
"O membro da Igreja John M. Bernhisel copiou partes de um manuscrito do Velho Testamento e um manuscrito separado do Novo Testamento cerca de um ano após a morte de Joseph Smith, quando Emma Smith emprestou a Bernhisel os manuscritos por um período de quase três meses.
"	The Church member John M. Bernhisel copied parts of a manuscript of the Old Testament and a separate manuscript of the New Testament about a year after the death of Joseph Smith, when Emma Smith lent Bernhisel the manuscripts for a period of almost three months.	John M. Bernhisel, a member of the Church, transcribed portions from an Old Testament manuscript and a distinct manuscript of the New Testament approximately one year after the death of Joseph Smith, during which Emma Smith lent the manuscripts to Bernhisel for nearly three months.
