Source	First English Translation	Final Refined Translation
"Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?
"	What can I do to see the correct names and data in the new Family Search?	What can I do to ensure that the correct names and details are displayed in the new FamilySearch?
"Ich will gehn, ich will tun, was Gott mir sagt und dann
"	I want to go, I want to do what God tells me and then	I want to go, I want to do what God is telling me, and then see what happens next.
"Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.
"	The Fhrer of the Church are honestly attested to the fact that you are building the kingdom of God like no generation before you, he said. We know that the Church and the Kingdom of God will only continue to rise up and grow when your generation is successful.	The leaders of the Church are sincerely convinced that your generation has the potential to build the Kingdom of God like no other before it, he stated. We understand that the Church and the Kingdom of God can only be further established and flourish if your generation achieves success.
"Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.
"	Only subcategories of your unit with a green dot pop will be renamed.	Only the subcategories of your unit that are marked with a green dot can be renamed.
"Informieren Sie FamilySearch, um sich als Administrator zu registrieren.
"	Inform Family Search to register as an administrator.	Inform FamilySearch to register as an administrator.
"Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.
"	You will be in the Belgian-Dutch Mission Brsselttig for your task of preaching the gospel to non-members.	In addition to your task of proclaiming the Gospel to non-members, you will be active in the Belgian-Dutch Mission in Brussels.
"Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.
"	After a speech that took place on 25. June 2010 was held at a seminar for new mission president.	Following a speech given on June 25, 2010, at a seminar for newly appointed mission presidents.
"Das Spiel wird im Kreis gespielt.
"	The game is played in a circle.	The game is played in a circle.
"Das Programm zeichnet jeden Fall eines Kunden auf.
"	The program records every case of a customer.	The program logs every case of a customer.
"Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten
"	Guidelines for the FHV assembly for living, family and own development and these activities	Guidelines for the FHV assembly concerning housing, family, personal development, and related activities.
"Getauft, aber nicht konfirmiert
"	Baptized, but not confirmed	Baptized, yet not confirmed
"Die Prsidentschaften der Jungen Mnner und der Jungen Damen
"	The President of the Young Mnner and the Young Ladies	The Presidencies of Young Men and Young Women
"Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.
"	The Book of Mormon is another witness for Jesus Christ and confirms the truths that are in the Bible.	The Book of Mormon serves as an additional witness of Jesus Christ and affirms the truths contained in the Bible.
"Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.
"	When the Latter-day Saints were driven from their housers in Nauvoo, Illinois, many found joy amid the suffering.	When the Latter-day Saints were expelled from their homes in Nauvoo, Illinois, many found joy in the midst of their suffering.
"Wenn man mit der Lge lebt, kann man nie vllig frei sein. Nur jemand, der stndig eine solche Last mit sich herumtrgt oder -getragen hat, kann das nachempfinden. Wir drfen nie vergessen: Etwas Falsches wird nicht dadurch richtig, dass viele es tun. Eine falsche Tat wird auch dadurch nicht richtig, weil sie fr niemanden sichtbar wird.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Im Mrz 1944, der Krieg war inzwischen auf seinem Hhepunkt, wurde das Schiff vor Saipan im Sdpazifik angegriffen. Arthur war einer derjenigen an Bord, die auf See verschollen blieben. Der blaue Stern wurde von seinem Ehrenplatz am vorderen Fenster des Hauses der Familie Patton entfernt. An seine Stelle kam ein goldener Stern, der anzeigte, dass derjenige, fr den der blaue Stern gestanden hatte, im Kampf gefallen war. Ein Licht erlosch im Leben von Mrs. Patton.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Und ich erblickte auch einen engen und schmalen Pfad, der an der eisernen Stange entlangfhrte, ja, zu dem Baum, bei dem ich stand;
"	And I also saw a narrow and narrow path that traveled along the iron pole, yes, to the tree by which I stood;	I also saw a narrow, winding path that ran along the iron pole, leading to the tree where I was standing.
"Freiwillige helfen auf eigene Gefahr. Jugendliche unter 18 drfen nur teilnehmen, wenn sie von einem Elternteil begleitet werden, oder eine Erlaubnis seitens der Erziehungsberechtigten vorliegt.
"	Volunteers help at their own risk. Young people under the age of 18 only take part if they are accompanied by a parent or if they have permission from their legal guardians.	Volunteers take part at their own risk. Young individuals under the age of 18 may only participate if they are accompanied by a parent or if they have obtained written permission from their guardians.
"Die scheinbar bersprungenen Leerfelder sind die Felder, die in dem von Ancestry.com generierten Index nicht bercksichtigt wurden. Die Stze mit solchen bersprungenen Feldern enthalten den letzten Index, der ber Ancestry.com erstellt wurde. Darin kommen die neuen Felder, die jetzt indexiert werden mssen, noch nicht vor. Das Projekt ist dadurch wesentlich aufwndiger geworden, sodass mehr Indexierungsarbeit als bei den vorigen US-Volkszhlungsprojekten, an denen sich FamilySearch beteiligt hat, erforderlich ist.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"East North Temple Street
"	East North Temple Street	East North Temple Street
"Amerikanische Gebrdensprache ASL mit Untertiteln: am dritten Samstag im Monat um 12:00 Uhr
"	American Gebrden language ASL with subtitles: on the third Saturday of each month at 12:00	American Sign Language (ASL) with subtitles: on the third Saturday of each month at 12:00 PM
