Source	First English Translation	Final Refined Translation
"Durante o tempo que passam no Chile, percebem a necessidade de uma tradução para o espanhol do Livro de Mórmon.
"	During their time in Chile, they realize the need for a Spanish translation of the Book of Mormon.	During their time in Chile, they recognize the necessity for a Spanish translation of the Book of Mormon.
"Posteriormente, o mesmo sonho se repetiu.
"	Subsequently, the same dream was repeated.	Later on, the same dream happened again.
"Há um tipo de alegria e satisfação que somente é compreendida por meio de sentimentos espirituais.
"	There is a kind of joy and satisfaction that is only understood through spiritual feelings.	There exists a type of joy and satisfaction that can only be grasped through spiritual emotions.
"5. Exatidão dos Dados Informados.
"	5. Accurate of the Informed Data.	5. Accuracy of the Reported Data.
"As ordenanças continuarão na sua lista até que alguém as aceite.
"	Ordinances will remain on your list until someone accepts them.	The ordinances will stay on your list until someone accepts them.
"Além de suas próprias provações pessoais, muitos enfrentaram e continuam a enfrentar preconceitos e mal-entendidos culturais mesmo em sua ala ou seu ramo.
"	In addition to their own personal trials, many have faced and continue to face prejudices and cultural misunderstandings even in their ward or their branch.	Besides their own personal trials, many individuals have faced and continue to face biases and cultural misunderstandings, even within their respective wards or branches.
"Ocorreu um erro ao salvar seu retrato.
"	An error occurred saving his portrait.	An error occurred while saving your portrait.
"Clique na caixa de seleção à esquerda de cada pessoa cujas ordenanças você deseja cancelar a reserva.
"	Click the check box to the left of each person whose ordinances you want to cancel the reservation.	Click on the checkbox to the left of each person whose reservations you wish to cancel.
"A indexação de registros é o acelerador que dá ao site FamilySearch.org o poder de conectar você aos seus antepassados.
"	Record indexing is the accelerator that gives the e FamilySearch.org sit the power to connect you to your forebears.	The indexing of records acts as the catalyst that empowers FamilySearch.org to link you with your ancestors.
"Tabela para listar até quatro gerações de antepassados.
"	Table to list up to four generations of ancestors.	Table for listing up to four generations of ancestors.
"E essa é a razão, porque o Espírito foi persistente.
"	And that is the reason, because the Spirit was persistent.	And that is the reason the Spirit was persistent.
"Apesar de as ordenanças vicárias realizadas fora de sequência serem válidas, elas tornam-se eficazes somente depois que forem realizadas as ordenanças exigidas previamente.
"	Although vicarious ordinances performed out of sequence are valid, they become effective only after the ordinances previously required are performed.	Although the vicarious ordinances performed out of sequence are valid, they only become effective after the previously required ordinances have been carried out.
"No mundo todo, como irmãos e irmãs no evangelho, podemos aprender uns com os outros, tornar-nos mais unidos e aumentar nosso amor mútuo.
"	All over the world, as brothers and sisters in the gospel, we can learn from each other, become more united and increase our mutual love.	Worldwide, as brothers and sisters in the gospel, we can learn from one another, become more united, and enhance our mutual love.
"O chamado, Jorge Orlando Cocco Santangelo Prêmio de Compra
"	The call, Jorge Orlando Cocco Santangelo Purchase Award	The Jorge Orlando Cocco Santangelo Purchasing Award
"O membro da Igreja John M. Bernhisel copiou partes de um manuscrito do Velho Testamento e um manuscrito separado do Novo Testamento cerca de um ano após a morte de Joseph Smith, quando Emma Smith emprestou a Bernhisel os manuscritos por um período de quase três meses.
"	Church member John M. Bernhisel copied parts of an Old Testament manuscript and a separate manuscript from the New Testament about a year after Joseph Smith&#39;s death, when Emma Smith lent Bernhisel the manuscripts for a period of nearly three months.	John M. Bernhisel, a member of the Church, copied parts of an Old Testament manuscript and a separate manuscript of the New Testament approximately a year after the death of Joseph Smith, when Emma Smith lent the manuscripts to Bernhisel for nearly three months.
