Source	First English Translation	Final Refined Translation
"Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?
"	What can I do to make sure the correct names and dates appear in the new FamilySearch?	What steps can I take to ensure that the correct names and dates appear in the new FamilySearch?
"Ich will gehn, ich will tun, was Gott mir sagt und dann
"	I want to go, I want to do what God tells me to do and then	I want to go, I want to do what God is telling me to do, and then
"Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.
"	Church leaders are sincerely convinced that you can build the kingdom of God like no generation before you, he said. We know that the Church and the kingdom of God can only continue to be established and grow if your generation is successful.	The leaders of the church are genuinely convinced that your generation can build the kingdom of God in a way that no generation before it has, he said. We understand that the church and the kingdom of God can only continue to be built and flourish if your generation succeeds.
"Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.
"	Only subcategories of your unit with a green dot can be renamed.	Only the subcategories of your unit that are marked with a green dot may be renamed.
"Informieren Sie FamilySearch, um sich als Administrator zu registrieren.
"	Tell FamilySearch to register as an administrator.	Inform FamilySearch to register as an administrator.
"Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.
"	In addition to your task of preaching the gospel to non-members, you will be active in the Belgian-Dutch Mission in Brussels.	In addition to your responsibility for proclaiming the gospel to non-members, you will be serving in the Belgian-Dutch Mission in Brussels.
"Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.
"	Based on an address given at a seminar for new mission presidents on June 25, 2010.	Following an address delivered at a seminar for new mission presidents on June 25, 2010.
"Das Spiel wird im Kreis gespielt.
"	The game is played in a circle.	The game is played in a circle.
"Das Programm zeichnet jeden Fall eines Kunden auf.
"	The program records each case of a client.	The program records every instance of a customer's case.
"Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten
"	Guidelines and Activities for Relief Society Meeting, Housing, Family, and Self-Development.	Guidelines for the Family Home Evening Meeting regarding Housing, Family, and Personal Development Activities.
"Getauft, aber nicht konfirmiert
"	Baptized, but not confirmed	Baptized, but not confirmed
"Die Prsidentschaften der Jungen Mnner und der Jungen Damen
"	Young Men's and Young Women Presidencies	The Presidencies of Young Men and Young Women
"Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.
"	We are not here to force anyone to do the will of Heavenly Father. Of course, the degree of freedom and responsibility we give our children depends on their age and abilities. If we help our children to exercise their agency properly, it will be easier to teach them and love them, regardless of their behavior.	We are not here to compel anyone to fulfill the will of our Heavenly Father. Naturally, the degree of freedom and responsibility we grant our children is dependent on their age and capabilities. By assisting our children in properly exercising their freedom of choice, it will become easier to teach and love them, irrespective of their behavior.
"Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.
"	The Book of Mormon is another testament of Jesus Christ and confirms the truths in the Bible.	The Book of Mormon serves as an additional testament of Jesus Christ and affirms the truths that are presented in the Bible.
"Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.
"	When Latter-day Saints were driven from their homes in Nauvoo, Illinois, many found joy in the midst of suffering.	When the Latter-day Saints were driven out of their homes in Nauvoo, Illinois, many discovered joy amid their suffering.
"Wenn man mit der Lge lebt, kann man nie vllig frei sein. Nur jemand, der stndig eine solche Last mit sich herumtrgt oder -getragen hat, kann das nachempfinden. Wir drfen nie vergessen: Etwas Falsches wird nicht dadurch richtig, dass viele es tun. Eine falsche Tat wird auch dadurch nicht richtig, weil sie fr niemanden sichtbar wird.
"	If you live with the lie, you can never be completely free. Only someone who constantly carries or has carried such a burden around with him can relate to it. We must never forget: Something wrong does not become right because many do it. A wrong deed also does not become right because it is not visible to anyone.	Living with a lie means that one can never be entirely free. Only someone who continuously carries, or has carried, such a burden can truly empathize with this. We must always remember: Something that is wrong does not become right merely because many people partake in it. An immoral act does not become justified just because it is concealed from others.
"Im Mrz 1944, der Krieg war inzwischen auf seinem Hhepunkt, wurde das Schiff vor Saipan im Sdpazifik angegriffen. Arthur war einer derjenigen an Bord, die auf See verschollen blieben. Der blaue Stern wurde von seinem Ehrenplatz am vorderen Fenster des Hauses der Familie Patton entfernt. An seine Stelle kam ein goldener Stern, der anzeigte, dass derjenige, fr den der blaue Stern gestanden hatte, im Kampf gefallen war. Ein Licht erlosch im Leben von Mrs. Patton.
"	In March 1944, the war was now at its peak, the ship was attacked off Saipan in the South Pacific. Arthur was one of those on board who remained missing at sea. The blue star has been removed from its place of honor on the front window of the Patton family home. In its place came a gold star, which indicated that the one for whom the blue star had stood had fallen in battle. A light went out in Mrs. Patton's life.	In March 1944, as the war reached its peak, the ship was attacked off the coast of Saipan in the South Pacific. Arthur was among those on board who went missing at sea. The blue star was taken down from its honored place at the front window of the Patton family home. In its stead, a gold star was hung, signifying that the individual for whom the blue star had represented had fallen in battle. A light had gone out in Mrs. Patton's life.
"Und ich erblickte auch einen engen und schmalen Pfad, der an der eisernen Stange entlangfhrte, ja, zu dem Baum, bei dem ich stand;
"	And I also saw a narrow and narrow path that led along the iron bar, yes, to the tree by which I stood;	I also noticed a narrow and winding path that ran along the iron post, reaching the tree where I stood.
"Freiwillige helfen auf eigene Gefahr. Jugendliche unter 18 drfen nur teilnehmen, wenn sie von einem Elternteil begleitet werden, oder eine Erlaubnis seitens der Erziehungsberechtigten vorliegt.
"	Volunteers help at their own risk. Young people under the age of 18 are only allowed to participate if they are accompanied by a parent or have permission from their legal guardians.	Volunteers take part at their own risk. Individuals under 18 are only allowed to participate if they are accompanied by a parent or if they have obtained permission from their legal guardians.
"Die scheinbar bersprungenen Leerfelder sind die Felder, die in dem von Ancestry.com generierten Index nicht bercksichtigt wurden. Die Stze mit solchen bersprungenen Feldern enthalten den letzten Index, der ber Ancestry.com erstellt wurde. Darin kommen die neuen Felder, die jetzt indexiert werden mssen, noch nicht vor. Das Projekt ist dadurch wesentlich aufwndiger geworden, sodass mehr Indexierungsarbeit als bei den vorigen US-Volkszhlungsprojekten, an denen sich FamilySearch beteiligt hat, erforderlich ist.
"	The blank spaces that appear to be skipped are the fields that were not included in the index generated by Ancestry.com. The records with such skipped fields contain the last index created via Ancestry.com. The new fields that now have to be indexed do not yet appear in it. This has made the project much more cumbersome, requiring more indexing work than previous U.S. census projects in which FamilySearch participated.	The seemingly omitted blank fields are those that were not considered in the index generated by Ancestry.com. The records featuring these omitted fields represent the latest index created through Ancestry.com, which does not yet include the new fields that now require indexing. As a result, the project has become significantly more labor-intensive, necessitating more indexing efforts than in previous U.S. census projects that FamilySearch was part of.
"East North Temple Street
"	East North Temple Street	East North Temple Street
"Amerikanische Gebrdensprache ASL mit Untertiteln: am dritten Samstag im Monat um 12:00 Uhr
"	American language ASL with subtitles: the third Saturday of the month at 12:00 noon	American Sign Language (ASL) with subtitles, occurring on the third Saturday of each month at 12:00 PM
"Entscheidet sich der Schler dafr, mitzuarbeiten, bt er seine Entscheidungsfreiheit aus, und zwar so, dass der Heilige Geist ihm eine Botschaft bermitteln kann, die auf seine individuellen Bedrfnisse zugeschnitten ist. Wenn die Schler zur Mitarbeit angeregt werden, ist es sehr viel wahrscheinlicher, dass der Heilige Geist noch etwas sehr viel Wichtigeres lehrt als das, was Sie vermitteln knnen.
"	When the student chooses to participate, he or she exercises his agency in such a way that the Holy Ghost can convey a message tailored to his or her individual needs. If students are encouraged to participate, it is much more likely that the Holy Ghost will teach something far more important than what you can teach.	When a student decides to participate, they are exercising their freedom of choice in a manner that enables the Holy Spirit to convey a message specifically tailored to their individual needs. When students are encouraged to engage, it becomes far more likely that the Holy Spirit will impart lessons that are significantly more important than what you are capable of teaching.
"Glaube als Strkung der Ehe
"	Faith as a strengthening of marriage	Faith as a means to strengthen the marriage
"Man kann kommerziell abgeflltes Wasser in PET-Behltern kaufen. Nehmen Sie das Mindesthaltbarkeitsdatum der Behlter als Richtwert fr den Verbrauch. Verwenden Sie keine Kunststoffbehlter, die nicht aus PET hergestellt wurden.
"	You can buy commercially bottled water in PET containers. Use the best-before date of the containers as a guideline for consumption. Do not use plastic containers that are not made of PET.	You can buy commercially bottled water in PET containers. Use the expiration date printed on the containers as a guideline for consumption. Avoid using plastic containers that are not made from PET.
"Angaben zu Einzelpersonen und Familien, die bereits im System sind, lschen oder anzweifeln
"	Delete or doubt details of individuals and families who are already in the system	Delete or dispute the information of individuals and families that are already in the system
"Denken Sie daran, dass die Namen, die so schwer zu finden sind, wirkliche Menschen sind, denen Sie Ihr Dasein in dieser Welt verdanken und denen Sie in der Geisterwelt wieder begegnen werden.
"	Remember that the names that are so hard to find are real people to whom you owe your existence in this world and whom you will meet again in the spirit world.	Remember that the names you find so difficult to uncover are those of real people to whom you owe your existence in this world, and with whom you will encounter again in the spirit realm.
