Source	First English Translation	Final Refined Translation
"Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?
"	What can I do to ensure that the correct names and data are displayed in the new FamilySearch?	What actions can I take to guarantee that the accurate names and information appear in the new FamilySearch?
"Ich will gehn, ich will tun, was Gott mir sagt und dann
"	I want to go, I want to do what God tells me and then	I want to go; I want to do what God tells me, and then I will see what happens next.
"Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.
"	The leaders of the Church are honestly convinced that they can build the kingdom of God like no generation before them, he said. We know that the Church and the Kingdom of God can only continue to be established and grow if their generation is successful.	The leaders of the Church are sincerely convinced that they can build the Kingdom of God in a manner unlike any generation before them, he stated. We understand that the Church and the Kingdom of God can only continue to be established and flourish if their generation achieves success.
"Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.
"	Only subcategories of your unit with a green dot can be renamed.	Only the subcategories of your unit marked with a green dot can be renamed.
"Informieren Sie FamilySearch, um sich als Administrator zu registrieren.
"	Inform FamilySearch to register as an administrator.	Please inform FamilySearch in order to register as an administrator.
"Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.
"	In addition to their task of preaching the gospel to non-members, they will be active in the Belgian-Dutch Mission Brussels.	In addition to your task of proclaiming the gospel to non-members, you will be actively involved in the Belgian-Dutch Mission in Brussels.
"Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.
"	After an address given at a seminar for new mission presidents on June 25, 2010.	After an address delivered at a seminar for new mission presidents on June 25, 2010.
"Das Spiel wird im Kreis gespielt.
"	The game is played in a circle.	The game is played in a circle.
"Das Programm zeichnet jeden Fall eines Kunden auf.
"	The program records each case of a client.	The program logs each instance of a customer.
"Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten
"	Guidelines for the Relief Society Meeting for Housing, family and personal development and related activities	Guidelines for the FHV Assembly on Housing, Family, Personal Development, and Related Activities.
"Getauft, aber nicht konfirmiert
"	Baptized, but not confirmed	Baptized, yet not confirmed
